TimeFromStart,PositionX,PositionY,Angle,VelocityX,VelocityY,W,ForwardVel,NormalVel
0,0.00876796,0,
18,-0.00421624,0,
34,-0.0100359,0,
51,-0.00375186,0,
69,0.0212953,0,
86,-0.00172047,0,
103,0.0162562,0,
119,0.00446279,0,
136,0.000701862,0,
152,0.000383093,0,
168,-0.000840127,0,
184,-0.0017289,0,
201,-0.00722253,0,
217,-0.00346591,0,
234,-0.00313819,0,
250,-0.00525741,0,
267,-0.000632113,0,
283,-0.00102162,0,
300,0.0153909,0,
317,0.00732699,0,
333,0.00167586,0,
350,-0.00187308,0,
367,0.0177296,0,
383,0.0125261,0,
401,0.00135054,0,
418,-0.00305835,0,
435,-0.00865247,0,
451,-0.013883,0,
467,-0.0116829,0,
484,-0.00463946,0,
500,-0.00426447,0,
517,0.00123847,0,
533,-0.000430807,0,
549,0.000238038,0,
566,-0.00100501,0,
582,-0.0002107,0,
600,-0.000816522,0,
616,-0.00181215,0,
633,-0.0139962,0,
649,0.00639409,0,
668,-0.00553072,0,
684,-0.0143871,0,
700,-0.0341269,0,
716,-0.0258185,0,
733,-0.0177093,0,
750,0.00306193,0,
767,0.00418701,0,
783,0.00158982,0,
801,0.0241869,0,
817,0.0187428,0,
834,0.0218559,0,
850,0.0144611,0,
869,0.0106739,0,
885,0.00658215,0,
